calibration_key,calibration_label,num_runs,agent_fidelity,agent_fidelity_ci95_low,agent_fidelity_ci95_high,agent_fidelity_record_n,agent_fidelity_unique_value_n,sabre_fidelity,sabre_fidelity_ci95_low,sabre_fidelity_ci95_high,sabre_fidelity_record_n,sabre_fidelity_unique_value_n,qiskit_noise_aware_vf2_fidelity,qiskit_noise_aware_vf2_fidelity_ci95_low,qiskit_noise_aware_vf2_fidelity_ci95_high,qiskit_noise_aware_vf2_fidelity_record_n,qiskit_noise_aware_vf2_fidelity_unique_value_n,agent_twoq,sabre_twoq,qiskit_noise_aware_vf2_twoq,agent_depth,sabre_depth,qiskit_noise_aware_vf2_depth,agent_wall_seconds,sabre_wall_seconds,qiskit_noise_aware_vf2_wall_seconds
ibm_fez,Fez,10,0.7124770247000898,0.6907247661723901,0.7233531539639396,10,2,0.42948302196792254,0.42948302196792254,0.42948302196792254,10,1,0.49770447242090576,0.49770447242090576,0.49770447242090576,10,1,,20.240000000000002,20.38,,22.16,23.88,5.377041450891622,4.267225803727474,
ibm_kingston,Kingston,10,0.7292512617748415,0.6953520320813154,0.7490091623448736,10,5,0.4456019243004971,0.4456019243004971,0.4456019243004971,10,1,0.4190666514742024,0.4190666514742024,0.4190666514742024,10,1,,20.240000000000002,20.240000000000002,,22.16,22.639999999999997,5.301437778694162,4.259911511508887,
ibm_marrakesh,Marrakesh,10,0.7388470253623696,0.7200577754290615,0.7501196555367092,10,3,0.4454568556561852,0.4454568556561852,0.4454568556561852,10,1,0.5254665969201707,0.5254665969201707,0.5254665969201707,10,1,,20.240000000000002,20.259999999999998,,22.16,23.579999999999995,5.394723348212777,4.2907258989368495,
