group_key,group_label,method_key,method_label,exact_fidelity
overall,Overall,sabre,SABRE-best20,0.44560192430049705
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
overall,Overall,sabre,SABRE-best20,0.4454568556561852
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_fez,Fez,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_kingston,Kingston,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
ibm_marrakesh,Marrakesh,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.4977044724209057
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.41906665147420247
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
overall,Overall,qiskit_noise_aware_vf2,Target-aware SABRE,0.5254665969201707
