method_key,method_label,exact_fidelity,exact_fidelity_ci95_low,exact_fidelity_ci95_high,exact_fidelity_record_n,exact_fidelity_unique_value_n,two_qubit_count,depth,wall_seconds
agent,Agent,0.7268584372791004,0.7106411240795771,0.7389064863725963,30,10,28.980000000000004,26.76,5.357734192599522
sabre,SABRE-best20,0.44018060064153514,0.43749895254091625,0.44285257749919965,30,3,20.240000000000002,22.159999999999993,4.27262107139107
qiskit_noise_aware_vf2,Target-aware SABRE,0.48074590693842617,0.4640929385991101,0.496024435955272,30,3,20.293333333333333,23.366666666666674,
